Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population,Renewable Vehicles,Non-Renewable Vehicles
2017,Utah,0,0.4,11,1,7.5,0.0,0,5,10,1,42,0,42,3103.54,235400,2297000
2017,Vermont,0,0.2,10,0,4.9,0.0,0,2,9,0,27,0,27,625.132,69100,538300
2017,Virginia,0,0.3,12,5,7.8,0.0,0,3,11,7,43,0,43,8471.011,682100,6880700
2017,Washington,0,0.3,17,3,8.5,20.4,0,3,16,4,47,19,47,7427.951,558000,5844800
2017,West Virginia,0,0.2,0,4,8.4,12.9,0,2,0,6,47,12,47,1818.683,174900,1331900
2017,Wisconsin,0,0.2,12,1,6.3,11.5,0,2,11,1,35,10,35,5793.147,722300,4689700
2017,Wyoming,0,0.1,6,2,4.9,11.9,0,1,6,3,27,11,27,579.994,72900,519800
2018,Alabama,0,0.3,16,3,9.4,17.2,0,3,15,4,52,16,52,4891.628,544100,3869600
2018,Alaska,0,0.4,17,8,5.0,12.0,0,5,16,11,28,11,28,736.624,68200,525900
2018,Arizona,0,0.3,22,7,8.0,36.4,0,3,21,10,44,33,44,7164.228,655900,5258200
2018,Arkansas,0,0.3,12,1,0.0,0.0,0,3,11,1,0,0,11,3012.161,392300,2171900
2018,California,0,0.3,14,1,10.0,27.8,0,3,13,1,53,25,53,39437.463,3189000,29408300
2018,Colorado,0,0.3,13,1,7.4,13.9,0,3,12,1,41,13,41,5697.155,525100,4515100
2018,Connecticut,0,0.3,16,0,6.8,13.4,0,3,15,0,38,12,38,3574.561,243400,2697300
2018,Delaware,0,0.2,15,0,7.4,0.0,0,2,14,0,41,0,41,966.985,95000,775500
2018,Florida,0,0.3,11,1,7.2,17.3,0,3,10,1,40,16,40,21254.926,1695600,14928000
2018,Georgia,0,0.4,18,2,8.3,14.8,0,5,17,3,46,13,46,10519.389,972500,7730100
2018,Hawaii,0,0.3,7,20,5.9,12.4,0,3,7,28,33,11,33,1423.102,85900,986800
2018,Idaho,0,0.4,0,5,5.4,19.7,0,5,0,7,30,18,30,1752.074,158700,1564400
2018,Illinois,0,0.2,18,3,9.1,23.2,0,2,17,4,51,21,51,12724.685,1298000,8832000
2018,Indiana,0,0.3,15,1,9.0,19.3,0,3,14,1,50,18,50,6698.481,769700,5049500
2018,Iowa,0,0.2,8,1,7.6,38.3,0,2,8,1,42,35,42,3149.9,464400,2512800
2018,Kansas,0,0.2,8,1,7.9,19.0,0,2,8,1,44,17,44,2912.748,328800,2181500
2018,Kentucky,0,0.2,10,1,8.5,16.6,0,2,9,1,47,15,47,4464.273,452800,3432300
2018,Louisiana,0,0.4,10,2,10.3,19.6,0,5,9,3,53,18,53,4664.45,560000,3193100
2018,Maine,0,0.2,8,0,5.4,10.4,0,2,8,0,30,9,30,1340.123,154900,1037600
2018,Maryland,0,0.2,14,3,7.3,0.0,0,2,13,4,41,0,41,6042.153,501200,4179600
2018,Massachusetts,0,0.3,13,1,6.8,0.0,0,3,12,1,38,0,38,6885.72,516100,4741900
2018,Michigan,0,0.4,15,3,10.2,21.9,0,5,14,4,53,20,53,9987.286,1447300,7165200
