Year,State Name,Ozone Average,Carbon Average,Nitrogen Average,Sulfur Average,PM2.5 Average,PM10 Average,Ozone AQI,Carbon AQI,Nitrogen AQI,Sulfur AQI,PM2.5 AQI,PM10 AQI,Overall AQI,Population
2004,Alabama,0,0.5,8,5,0.0,33.0,0,6,8,7,0,30,30,4530.729
2004,Alaska,0,1.1,0,0,0.0,0.0,0,12,0,0,0,0,12,659.286
2004,Arizona,0,0.6,24,11,0.0,27.7,0,7,23,15,0,25,25,5652.404
2004,Arkansas,0,0.4,21,3,0.0,0.0,0,5,20,4,0,0,20,2749.686
2004,California,0,0.5,21,3,0.0,21.2,0,6,20,4,0,19,20,35574.576
2004,Colorado,0,0.6,18,6,0.0,25.6,0,7,17,8,0,23,23,4575.013
2004,Connecticut,0,0.8,25,7,0.0,40.4,0,9,24,10,0,37,37,3496.094
2004,Delaware,0,0.4,26,10,0.0,19.4,0,5,25,14,0,18,25,830.803
2004,District Of Columbia,0,0.7,29,11,0.0,0.0,0,8,27,15,0,0,27,
2004,Florida,0,0.6,14,5,0.0,22.9,0,7,13,7,0,21,21,17415.318
2004,Georgia,0,0.5,18,6,0.0,22.7,0,6,17,8,0,21,21,8769.252
2004,Hawaii,0,0.6,7,18,0.0,0.0,0,7,7,25,0,0,25,1273.569
2004,Idaho,0,1.0,14,12,0.0,20.0,0,11,13,17,0,18,18,1391.802
2004,Illinois,0,0.7,26,9,0.0,29.3,0,8,25,13,0,27,27,12589.773
2004,Indiana,0,0.7,17,12,0.0,25.9,0,8,16,17,0,24,24,6233.007
2004,Iowa,0,0.5,10,6,0.0,23.9,0,6,9,8,0,22,22,2953.635
2004,Kansas,0,0.4,13,3,0.0,18.1,0,5,12,4,0,16,16,2734.373
2004,Kentucky,0,0.6,16,9,0.0,21.8,0,7,15,13,0,20,20,4146.101
2004,Louisiana,0,0.7,14,8,0.0,0.0,0,8,13,11,0,0,13,4552.238
2004,Maine,0,0.3,12,4,0.0,14.9,0,3,11,6,0,14,14,1313.688
2004,Maryland,0,0.5,26,11,0.0,20.3,0,6,25,15,0,18,25,5546.935
2004,Massachusetts,0,0.3,15,6,0.0,0.0,0,3,14,8,0,0,14,6412.281
2004,Michigan,0,0.3,23,8,0.0,36.7,0,3,22,11,0,33,33,10055.315
2004,Minnesota,0,0.3,10,2,0.0,23.5,0,3,9,3,0,21,21,5087.713
2004,Mississippi,0,0.4,8,4,0.0,0.0,0,5,8,6,0,0,8,2889.01
2004,Missouri,0,0.4,18,7,0.0,39.7,0,5,17,10,0,36,36,5747.741
2004,Montana,0,0.6,2,7,0.0,21.0,0,7,2,10,0,19,19,930.009
2004,Nebraska,0,0.5,0,3,0.0,24.7,0,6,0,4,0,22,22,1749.37
2004,Nevada,0,0.6,19,2,0.0,29.7,0,7,18,3,0,27,27,2346.222
2004,New Hampshire,0,0.5,11,10,0.0,0.0,0,6,10,14,0,0,14,1290.121
2004,New Jersey,0,0.6,27,8,0.0,0.0,0,7,25,11,0,0,25,8634.561
2004,New Mexico,0,0.3,16,3,0.0,31.5,0,3,15,4,0,29,29,1903.808
2004,New York,0,0.5,30,8,0.0,11.6,0,6,28,11,0,11,28,19171.567
2004,North Carolina,0,0.6,21,7,0.0,21.0,0,7,20,10,0,19,20,8553.152
2004,North Dakota,0,0.0,5,4,0.0,13.0,0,0,5,6,0,12,12,644.705
2004,Ohio,0,0.5,25,12,0.0,22.5,0,6,24,17,0,20,24,11452.251
2004,Oklahoma,0,0.2,11,7,0.0,19.9,0,2,10,10,0,18,18,3525.233
2004,Oregon,0,0.9,14,3,0.0,0.0,0,10,13,4,0,0,13,3569.463
2004,Pennsylvania,0,0.4,20,13,0.0,21.8,0,5,19,18,0,20,20,12410.722
2004,Rhode Island,0,0.5,13,9,0.0,0.0,0,6,12,13,0,0,13,1074.579
2004,South Carolina,0,0.3,13,4,0.0,28.0,0,3,12,6,0,26,26,4210.921
2004,South Dakota,0,0.0,11,1,0.0,34.5,0,0,10,1,0,31,31,770.396
2004,Tennessee,0,0.6,17,10,0.0,41.0,0,7,16,14,0,37,37,5910.809
2004,Texas,0,0.5,15,5,0.0,37.6,0,6,14,7,0,34,34,22394.023
2004,Utah,0,0.8,30,5,0.0,0.0,0,9,28,7,0,0,28,2401.58
2004,Vermont,0,0.5,19,6,0.0,0.0,0,6,18,8,0,0,18,619.92
2004,Virginia,0,0.4,21,7,0.0,0.0,0,5,20,10,0,0,20,7475.575
2004,Washington,0,1.0,18,4,0.0,20.6,0,11,17,6,0,19,19,6178.645
2004,West Virginia,0,0.6,25,20,0.0,25.6,0,7,24,28,0,23,28,1816.438
2004,Wisconsin,0,0.5,11,6,0.0,20.2,0,6,10,8,0,18,18,5514.026
2004,Wyoming,0,0.3,9,6,0.0,4.3,0,3,8,8,0,4,8,509.106
2004,Puerto Rico,0,1.6,11,6,0.0,27.9,0,18,10,8,0,25,25,
2004,Virgin Islands,0,0.0,0,4,0.0,0.0,0,0,0,6,0,0,6,
2004,Country Of Mexico,0,0.9,29,4,0.0,72.4,0,10,27,6,0,60,60,
2004,Canada,0,0.0,9,6,0.0,0.0,0,0,8,8,0,0,8,
2005,Alabama,0,0.7,9,6,0.0,33.5,0,8,8,8,0,31,31,4569.805
