Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Observation Count,Observation Percent,Arithmetic Mean,Arithmetic Standard Dev,Local Site Name,Address,State Name,County Name,City Name,,
40.816,-73.902,WGS84,Carbon tetrachloride,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.1,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Carbon tetrachloride,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.1,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Carbon tetrachloride,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,35,57,0.1,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Trichlorofluoromethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.2,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Trichlorofluoromethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0.2,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Trichlorofluoromethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,35,57,0.2,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Chloroethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Chloroethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,Chloroethane,24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,35,57,0,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
40.816,-73.902,WGS84,"1,1-Dichloroethane",24 HOUR,,Observed Values,SS 6L- PRESSURIZED CANISTER - CRYOGENIC PRECON: GC/MS,2020,Parts per billion Carbon,36,59,0,0,IS 52,IS 52    681 KELLY ST,New York,Bronx,New York,,
